Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
1.00,USA,104196861.00,1132935.00,101322779.00,1741147.00,1159832679.00,334805269.00
2.00,India,44682784.00,530740.00,44150289.00,1755.00,915265788.00,1406631776.00
3.00,France,39524311.00,164233.00,39264546.00,95532.00,271490188.00,65584518.00
4.00,Germany,37779833.00,165711.00,37398100.00,216022.00,122332384.00,83883596.00
5.00,Brazil,36824580.00,697074.00,35919372.00,208134.00,63776166.00,215353593.00
6.00,Japan,32588442.00,68399.00,21567425.00,10952618.00,92144639.00,125584838.00
7.00,S. Korea,30197066.00,33486.00,29740877.00,422703.00,15804065.00,51329899.00
8.00,Italy,25453789.00,186833.00,25014986.00,251970.00,265478247.00,60262770.00
9.00,UK,24274361.00,204171.00,24020088.00,50102.00,522526476.00,68497907.00
10.00,Russia,21958696.00,395108.00,21356008.00,207580.00,273400000.00,145805947.00
11.00,Turkey,17042722.00,101492.00,0.00,0.00,162743369.00,85561976.00
12.00,Spain,13731478.00,118434.00,13557699.00,55345.00,471036328.00,46719142.00
13.00,Vietnam,11526508.00,43186.00,10612479.00,870843.00,85826548.00,98953541.00
14.00,Australia,11295446.00,18615.00,11235771.00,41060.00,78835048.00,26068792.00
15.00,Argentina,10037135.00,130421.00,9877032.00,29682.00,35716069.00,46010234.00
16.00,Taiwan,9569611.00,16356.00,9129766.00,423489.00,30207485.00,23888595.00
17.00,Netherlands,8582500.00,22989.00,8547771.00,11740.00,25984435.00,17211447.00
18.00,Iran,7564350.00,144749.00,7337549.00,82052.00,54420785.00,86022837.00
19.00,Mexico,7368252.00,332198.00,6606633.00,429421.00,19356195.00,131562772.00
20.00,Indonesia,6730289.00,160817.00,6565208.00,4264.00,114158919.00,279134505.00
21.00,Poland,6380225.00,118736.00,5335940.00,925549.00,38118630.00,37739785.00
22.00,Colombia,6356309.00,142486.00,6179501.00,34322.00,36951507.00,51512762.00
23.00,Austria,5780229.00,21689.00,5730189.00,28351.00,211273524.00,9066710.00
24.00,Greece,5708301.00,35630.00,5662212.00,10459.00,102228365.00,10316637.00
25.00,Portugal,5563907.00,26022.00,5532366.00,5519.00,45915651.00,10140570.00
26.00,Ukraine,5370131.00,111020.00,5253302.00,5809.00,32603805.00,43192122.00
27.00,Chile,5118981.00,63812.00,5051555.00,3614.00,48127301.00,19250195.00
28.00,Malaysia,5036593.00,36942.00,4989861.00,9790.00,67665089.00,33181072.00
29.00,Israel,4786189.00,12193.00,4768242.00,5754.00,41373364.00,9326000.00
30.00,DPRK,4772813.00,74.00,4772739.00,0.00,0.00,25990679.00
31.00,Thailand,4726984.00,33865.00,4692636.00,483.00,17270775.00,70078203.00
32.00,Belgium,4691499.00,33557.00,4644681.00,13261.00,36548544.00,11668278.00
33.00,Czechia,4590019.00,42312.00,4538304.00,9403.00,56893223.00,10736784.00
34.00,Canada,4550256.00,50380.00,4444013.00,55863.00,66343123.00,38388419.00
35.00,Peru,4481621.00,218931.00,4258688.00,4002.00,37754603.00,33684208.00
36.00,Switzerland,4385701.00,14452.00,4366770.00,4479.00,23318743.00,8773637.00
37.00,Philippines,4073454.00,65802.00,3998048.00,9604.00,34343332.00,112508994.00
38.00,South Africa,4055966.00,102595.00,3912506.00,40865.00,26473049.00,60756135.00
39.00,Romania,3325006.00,67576.00,3252104.00,5326.00,26389988.00,19031335.00
40.00,Denmark,3173247.00,8145.00,3163849.00,1253.00,129144754.00,5834950.00
41.00,Hong Kong,2877280.00,13358.00,2509483.00,354439.00,76123870.00,7604299.00
42.00,Sweden,2693458.00,23246.00,2658039.00,12173.00,19410527.00,10218971.00
43.00,Serbia,2471198.00,17701.00,2440527.00,12970.00,12154486.00,8653016.00
44.00,Iraq,2465545.00,25375.00,2439497.00,673.00,19544451.00,42164965.00
45.00,Singapore,2217110.00,1722.00,2144490.00,70898.00,24756666.00,5943546.00
46.00,Hungary,2192447.00,48677.00,2139857.00,3913.00,11394556.00,9606259.00
47.00,New Zealand,2182355.00,3781.00,2169320.00,9254.00,7710637.00,4898203.00
48.00,Bangladesh,2037556.00,29442.00,1992694.00,15420.00,15247014.00,167885689.00
49.00,Slovakia,1860893.00,20946.00,1839309.00,638.00,7390781.00,5460193.00
50.00,Georgia,1814180.00,16926.00,1776548.00,20706.00,16920079.00,3968738.00
51.00,Jordan,1746997.00,14122.00,1731007.00,1868.00,17201885.00,10300869.00
52.00,Ireland,1700253.00,8462.00,1685183.00,6608.00,12984257.00,5020199.00
53.00,Pakistan,1576313.00,30640.00,1538689.00,6984.00,30570862.00,229488994.00
54.00,Norway,1477856.00,5112.00,1471835.00,909.00,11002430.00,5511370.00
55.00,Finland,1458619.00,8639.00,1447569.00,2411.00,12017711.00,5554960.00
56.00,Kazakhstan,1405917.00,13695.00,1383020.00,9202.00,11575012.00,19205043.00
57.00,Slovenia,1321852.00,7056.00,1311159.00,3637.00,2824843.00,2078034.00
58.00,Lithuania,1296865.00,9545.00,1282528.00,4792.00,10350770.00,2661708.00
59.00,Bulgaria,1295426.00,38179.00,1254491.00,2756.00,10987749.00,6844597.00
60.00,Morocco,1272240.00,16296.00,1255881.00,63.00,12930733.00,37772756.00
61.00,Croatia,1267580.00,17877.00,1249168.00,535.00,5476183.00,4059286.00
62.00,Lebanon,1228639.00,10790.00,1087587.00,130262.00,4795578.00,6684849.00
63.00,Guatemala,1227853.00,20106.00,1204545.00,3202.00,6757892.00,18584039.00
64.00,Bolivia,1187986.00,22346.00,1146143.00,19497.00,2705422.00,11992656.00
65.00,Costa Rica,1186176.00,9158.00,860711.00,316307.00,4659757.00,5182354.00
66.00,Tunisia,1150356.00,29308.00,0.00,0.00,4997373.00,12046656.00
67.00,Cuba,1112438.00,8530.00,1103799.00,109.00,14298479.00,11305652.00
68.00,Ecuador,1051239.00,35942.00,1011682.00,3615.00,3082403.00,18113361.00
69.00,UAE,1049409.00,2348.00,1032735.00,14326.00,198638806.00,10081785.00
70.00,Uruguay,1032710.00,7609.00,1023939.00,1162.00,6114822.00,3496016.00
71.00,Panama,1029701.00,8596.00,1020206.00,899.00,7475016.00,4446964.00
72.00,Mongolia,1007871.00,2179.00,1005658.00,34.00,4030048.00,3378078.00
73.00,Nepal,1001102.00,12020.00,989064.00,18.00,6003944.00,30225582.00
74.00,Belarus,994037.00,7118.00,985592.00,1327.00,13646641.00,9432800.00
75.00,Latvia,975355.00,6218.00,968830.00,307.00,7858319.00,1848837.00
76.00,Saudi Arabia,827962.00,9574.00,815528.00,2860.00,45048008.00,35844909.00
77.00,Azerbaijan,827944.00,10085.00,817654.00,205.00,7487550.00,10300205.00
78.00,Paraguay,806256.00,19820.00,0.00,0.00,2657506.00,7305843.00
79.00,Bahrain,700452.00,1543.00,698400.00,509.00,10682444.00,1783983.00
80.00,Sri Lanka,671989.00,16828.00,655158.00,3.00,6486117.00,21575842.00
81.00,Kuwait,662858.00,2570.00,660237.00,51.00,8455743.00,4380326.00
82.00,Dominican Republic,660095.00,4384.00,644785.00,10926.00,3740928.00,11056370.00
83.00,Cyprus,642663.00,1287.00,633422.00,7954.00,9640118.00,1223387.00
84.00,Myanmar,633820.00,19490.00,614299.00,31.00,9941945.00,55227143.00
85.00,Palestine,621008.00,5404.00,615445.00,159.00,3078533.00,5345541.00
86.00,Estonia,613891.00,2912.00,524990.00,85989.00,3659157.00,1321910.00
87.00,Moldova,598673.00,11953.00,504142.00,82578.00,3216305.00,4013171.00
88.00,Venezuela,551587.00,5845.00,545003.00,739.00,3359014.00,29266991.00
89.00,Egypt,515645.00,24613.00,442182.00,48850.00,3693367.00,106156692.00
90.00,Libya,507162.00,6437.00,500721.00,4.00,2483446.00,7040745.00
91.00,China,503302.00,5272.00,379053.00,118977.00,160000000.00,0.00
92.00,Ethiopia,499531.00,7572.00,486531.00,5428.00,5459809.00,120812698.00
93.00,Qatar,492534.00,686.00,491585.00,263.00,4065369.00,2979915.00
94.00,Réunion,485895.00,919.00,418572.00,66404.00,1603660.00,908061.00
95.00,Honduras,470757.00,11104.00,0.00,0.00,1619676.00,10221247.00
96.00,Armenia,446008.00,8717.00,435162.00,2129.00,3242901.00,2971966.00
97.00,Bosnia and Herzegovina,401384.00,16255.00,379084.00,6045.00,1884721.00,3249317.00
98.00,Oman,399449.00,4628.00,384669.00,10152.00,25000000.00,5323993.00
99.00,North Macedonia,346428.00,9638.00,336623.00,167.00,2216193.00,2081304.00
100.00,Kenya,342810.00,5688.00,337040.00,82.00,3967062.00,56215221.00
101.00,Zambia,340763.00,4047.00,335104.00,1612.00,3865993.00,19470234.00
102.00,Albania,334167.00,3595.00,328951.00,1621.00,1941032.00,2866374.00
103.00,Botswana,329227.00,2800.00,325934.00,493.00,2026898.00,2441162.00
104.00,Luxembourg,297757.00,1133.00,288991.00,7633.00,4412567.00,642371.00
105.00,Montenegro,286355.00,2797.00,283210.00,348.00,2697814.00,627950.00
106.00,Brunei,275220.00,225.00,243601.00,31394.00,717784.00,445431.00
107.00,Algeria,271378.00,6881.00,182749.00,81748.00,230861.00,45350148.00
108.00,Nigeria,266463.00,3155.00,259850.00,3458.00,5708974.00,216746934.00
109.00,Zimbabwe,261606.00,5652.00,254951.00,1003.00,2525756.00,15331428.00
110.00,Uzbekistan,250567.00,1637.00,241486.00,7444.00,1377915.00,34382084.00
111.00,Mozambique,231994.00,2233.00,228805.00,956.00,1371127.00,33089461.00
112.00,Martinique,229687.00,1097.00,0.00,0.00,828928.00,374087.00
113.00,Laos,217973.00,758.00,0.00,0.00,1233207.00,7481023.00
114.00,Iceland,208688.00,229.00,0.00,0.00,1996384.00,345393.00
115.00,Afghanistan,208545.00,7882.00,186088.00,14575.00,1188898.00,40754388.00
116.00,Kyrgyzstan,206592.00,2991.00,196406.00,7195.00,1907195.00,6728271.00
117.00,El Salvador,201785.00,4230.00,179410.00,18145.00,2610114.00,6550389.00
118.00,Guadeloupe,201394.00,1007.00,0.00,0.00,938039.00,399794.00
119.00,Trinidad and Tobago,187908.00,4326.00,183264.00,318.00,888936.00,1406585.00
120.00,Maldives,185715.00,311.00,163687.00,21717.00,2213831.00,540985.00
121.00,Ghana,171112.00,1462.00,169636.00,14.00,2527319.00,32395450.00
122.00,Namibia,170741.00,4088.00,166452.00,201.00,1062663.00,2633874.00
123.00,Uganda,170400.00,3630.00,100431.00,66339.00,3012408.00,48432863.00
124.00,Jamaica,153407.00,3480.00,102212.00,47715.00,1183986.00,2985094.00
125.00,Cambodia,138693.00,3056.00,135624.00,13.00,3091420.00,17168639.00
126.00,Rwanda,133090.00,1468.00,131559.00,63.00,5959042.00,13600464.00
127.00,Cameroon,123993.00,1965.00,118616.00,3412.00,1751774.00,27911548.00
128.00,Malta,117062.00,824.00,115623.00,615.00,2109235.00,444033.00
129.00,Barbados,106157.00,571.00,105570.00,16.00,790354.00,288023.00
130.00,Angola,105184.00,1931.00,103216.00,37.00,1499795.00,35027343.00
131.00,Channel Islands,101116.00,223.00,100778.00,115.00,1252808.00,176463.00
132.00,French Guiana,98028.00,420.00,11254.00,86354.00,651257.00,314169.00
133.00,DRC,95514.00,1463.00,84264.00,9787.00,846704.00,95240792.00
134.00,Senegal,88902.00,1971.00,86929.00,2.00,1146543.00,17653671.00
135.00,Malawi,88559.00,2686.00,85369.00,504.00,624784.00,20180839.00
136.00,Ivory Coast,87982.00,833.00,87138.00,11.00,1671684.00,27742298.00
137.00,Suriname,82020.00,1398.00,0.00,0.00,239603.00,596831.00
138.00,New Caledonia,79845.00,314.00,79526.00,5.00,98964.00,290915.00
139.00,French Polynesia,77957.00,649.00,0.00,0.00,0.00,284164.00
140.00,Eswatini,74133.00,1422.00,72676.00,35.00,1048704.00,1184817.00
141.00,Guyana,72950.00,1294.00,71357.00,299.00,717867.00,794045.00
142.00,Belize,70660.00,688.00,69949.00,23.00,576016.00,412190.00
143.00,Fiji,68820.00,883.00,66780.00,1157.00,667715.00,909466.00
144.00,Madagascar,67827.00,1419.00,66370.00,38.00,524209.00,29178077.00
145.00,Sudan,63742.00,5001.00,58284.00,457.00,562941.00,45992020.00
146.00,Mauritania,63665.00,997.00,62437.00,231.00,1009957.00,4901981.00
147.00,Cabo Verde,63229.00,413.00,62756.00,60.00,401622.00,567678.00
148.00,Bhutan,62605.00,21.00,61564.00,1020.00,2303734.00,787941.00
149.00,Syria,57453.00,3164.00,54289.00,0.00,146269.00,19364809.00
150.00,Burundi,53492.00,38.00,53394.00,60.00,345742.00,12624840.00
151.00,Seychelles,50665.00,172.00,50440.00,53.00,0.00,99426.00
152.00,Gabon,48981.00,306.00,48674.00,1.00,1621909.00,2331533.00
153.00,Andorra,47839.00,165.00,47563.00,111.00,249838.00,77463.00
154.00,Papua New Guinea,46750.00,670.00,43982.00,2098.00,249149.00,9292169.00
155.00,Curaçao,45986.00,295.00,44720.00,971.00,496693.00,165529.00
156.00,Aruba,43993.00,236.00,42438.00,1319.00,177885.00,107609.00
157.00,Tanzania,42664.00,846.00,0.00,0.00,0.00,63298550.00
158.00,Mayotte,42002.00,188.00,0.00,0.00,176919.00,286259.00
159.00,Mauritius,41652.00,1043.00,39943.00,666.00,358675.00,1274727.00
160.00,Togo,39354.00,290.00,39061.00,3.00,806803.00,8680837.00
161.00,Guinea,38240.00,467.00,37757.00,16.00,660107.00,13865691.00
162.00,Isle of Man,38008.00,116.00,0.00,0.00,150753.00,85732.00
163.00,Bahamas,37491.00,833.00,36366.00,292.00,257839.00,400516.00
164.00,Lesotho,34790.00,723.00,25980.00,8087.00,431221.00,2175699.00
165.00,Faeroe Islands,34658.00,28.00,0.00,0.00,778000.00,49233.00
166.00,Haiti,34076.00,860.00,33033.00,183.00,132422.00,11680283.00
167.00,Mali,32783.00,743.00,31957.00,83.00,789342.00,21473764.00
168.00,Cayman Islands,31472.00,37.00,8553.00,22882.00,222773.00,67277.00
169.00,Saint Lucia,29803.00,409.00,29095.00,299.00,210983.00,185113.00
170.00,Benin,27989.00,163.00,27823.00,3.00,604310.00,12784726.00
171.00,Somalia,27318.00,1361.00,13182.00,12775.00,400466.00,16841795.00
172.00,Congo,25375.00,386.00,24006.00,983.00,347815.00,5797805.00
173.00,Solomon Islands,24575.00,153.00,0.00,0.00,0.00,721159.00
174.00,San Marino,23427.00,122.00,23276.00,29.00,157634.00,34085.00
175.00,Timor-Leste,23415.00,138.00,23102.00,175.00,278529.00,1369429.00
176.00,Micronesia,22676.00,58.00,0.00,0.00,54967.00,117489.00
177.00,Burkina Faso,22025.00,396.00,21596.00,33.00,248995.00,22102838.00
178.00,Liechtenstein,21340.00,89.00,21237.00,14.00,112457.00,38387.00
179.00,Gibraltar,20399.00,111.00,16579.00,3709.00,534283.00,33704.00
180.00,Grenada,19680.00,238.00,19358.00,84.00,182981.00,113475.00
181.00,Bermuda,18766.00,157.00,18593.00,16.00,1024947.00,61939.00
182.00,Nicaragua,18491.00,225.00,4225.00,14041.00,0.00,6779100.00
183.00,South Sudan,18368.00,138.00,18115.00,115.00,410280.00,11618511.00
184.00,Tajikistan,17786.00,125.00,17264.00,397.00,0.00,9957464.00
185.00,Equatorial Guinea,17190.00,183.00,16883.00,124.00,365697.00,1496662.00
186.00,Tonga,16734.00,13.00,15638.00,1083.00,535009.00,107749.00
187.00,Samoa,16087.00,29.00,1605.00,14453.00,187397.00,202239.00
188.00,Monaco,16056.00,65.00,15982.00,9.00,78646.00,39783.00
189.00,Dominica,15760.00,74.00,15673.00,13.00,229344.00,72344.00
190.00,Djibouti,15690.00,189.00,15427.00,74.00,305941.00,1016097.00
191.00,Marshall Islands,15584.00,17.00,15528.00,39.00,0.00,60057.00
192.00,CAR,15368.00,113.00,15200.00,55.00,81294.00,5016678.00
193.00,Gambia,12586.00,372.00,12189.00,25.00,155686.00,2558482.00
194.00,Saint Martin,12233.00,63.00,1399.00,10771.00,112382.00,39730.00
195.00,Vanuatu,12014.00,14.00,11976.00,24.00,24976.00,321832.00
196.00,Greenland,11971.00,21.00,2761.00,9189.00,164926.00,56973.00
197.00,Yemen,11945.00,2159.00,9124.00,662.00,329592.00,31154867.00
198.00,Caribbean Netherlands,11661.00,38.00,10476.00,1147.00,30126.00,26647.00
199.00,Sint Maarten,11010.00,89.00,10905.00,16.00,62056.00,43966.00
200.00,Eritrea,10189.00,103.00,10086.00,0.00,23693.00,3662244.00
201.00,Niger,9931.00,312.00,8890.00,729.00,254538.00,26083660.00
202.00,St. Vincent Grenadines,9585.00,123.00,9454.00,8.00,113504.00,111551.00
203.00,Antigua and Barbuda,9106.00,146.00,8954.00,6.00,18901.00,99509.00
204.00,Comoros,8992.00,161.00,8827.00,4.00,0.00,907419.00
205.00,Guinea-Bissau,8947.00,176.00,8656.00,115.00,145231.00,2063367.00
206.00,Liberia,8062.00,294.00,7766.00,2.00,139824.00,5305117.00
207.00,Sierra Leone,7760.00,126.00,0.00,0.00,259958.00,8306436.00
208.00,Chad,7652.00,194.00,4874.00,2584.00,191341.00,17413580.00
209.00,British Virgin Islands,7305.00,64.00,0.00,0.00,107339.00,30596.00
210.00,Cook Islands,7011.00,2.00,6993.00,16.00,19690.00,17571.00
211.00,Saint Kitts and Nevis,6592.00,46.00,6537.00,9.00,126903.00,53871.00
212.00,Turks and Caicos,6522.00,38.00,6451.00,33.00,611527.00,39741.00
213.00,Sao Tome and Principe,6280.00,77.00,6202.00,1.00,29036.00,227679.00
214.00,Palau,5986.00,9.00,5976.00,1.00,68820.00,18233.00
215.00,St. Barth,5420.00,6.00,0.00,0.00,78646.00,9945.00
216.00,Kiribati,5008.00,18.00,2703.00,2287.00,0.00,123419.00
217.00,Nauru,4621.00,1.00,4609.00,11.00,20509.00,10903.00
218.00,Anguilla,3904.00,12.00,3879.00,13.00,51382.00,15230.00
219.00,Macao,3488.00,120.00,3357.00,11.00,7850.00,667490.00
220.00,Saint Pierre Miquelon,3452.00,2.00,2449.00,1001.00,25400.00,5759.00
221.00,Wallis and Futuna,3427.00,7.00,438.00,2982.00,20508.00,10982.00
222.00,Tuvalu,2805.00,0.00,0.00,2805.00,0.00,12066.00
223.00,Saint Helena,2166.00,0.00,2.00,2164.00,0.00,6115.00
224.00,Falkland Islands,1930.00,0.00,1930.00,0.00,8632.00,3539.00
225.00,Montserrat,1403.00,8.00,1376.00,19.00,17762.00,4965.00
226.00,Niue,747.00,0.00,746.00,1.00,0.00,1622.00
227.00,Diamond Princess,712.00,13.00,699.00,0.00,0.00,0.00
228.00,Vatican City,29.00,0.00,29.00,0.00,0.00,799.00
229.00,Western Sahara,10.00,1.00,9.00,0.00,0.00,626161.00
230.00,MS Zaandam,9.00,2.00,7.00,0.00,0.00,0.00
231.00,Tokelau,5.00,0.00,0.00,5.00,0.00,1378.00
